Browser,City,Convname,Convtype,Count,Countrycode,Device,Linkid,Os,Timestamp,Type,Visitortoken
Instagram App,Northampton,Individual plan,trial,1,GB,mobile,0744cb37-1795-4183-b6fb-3beff182e1cb,iOS,2019-09-01T10:50:00Z,conversion,4695c724c1fa81ede850xxxxxxxxxxxx
Chrome,Chiang Mai,Individual plan,trial,1,TH,mobile,257be93a-3bb9-464a-97d2-8c2c72d1b7df,iOS,2019-09-01T11:49:00Z,conversion,48a1797847f52d7d5818xxxxxxxxxxxx
Instagram App,Hilo,Individual plan,membership,1,US,mobile,28ddf8d0-1cd8-477e-84c4-434ea6e8033e,iOS,2019-09-01T11:57:00Z,conversion,595f431847b2e94075e3xxxxxxxxxxxx
Safari,Johannesburg,Individual plan,trial,1,ZA,mobile,d4a050a1-d4b2-4132-a743-b5fae784c267,iOS,2019-09-01T12:10:00Z,conversion,f533ee838170bda92a51xxxxxxxxxxxx
Safari,Koshigaya,Individual plan,trial,1,JP,mobile,bfb91ea2-af48-4314-b6a3-97f3fdc7ba93,iOS,2019-09-01T12:34:00Z,conversion,2cdbe881433471a9c819xxxxxxxxxxxx
Instagram App,Lagos,Individual plan,trial,1,NG,mobile,5bce5f40-5a04-4525-b83b-9ab585e3bfd9,iOS,2019-09-01T12:42:00Z,conversion,4a8b9c9de91f6beda693xxxxxxxxxxxx
Safari,Tokyo,Individual plan,trial,1,JP,mobile,332a906f-1124-4853-9d51-509b5135e175,iOS,2019-09-01T12:48:00Z,conversion,45e92b19d1203550451axxxxxxxxxxxx
Instagram App,Woodstock,Individual plan,trial,1,US,mobile,7aff4391-3322-4a6e-aa5f-eb5858f515ea,iOS,2019-09-01T13:03:00Z,conversion,20d7562f8a27ffb54296xxxxxxxxxxxx
Safari,Kuala Lumpur,Individual plan,trial,1,MY,mobile,f5435cf2-4f90-4680-b668-c4b460b9d716,iOS,2019-09-01T14:30:00Z,conversion,6cc4b0fdf2022b00ad7fxxxxxxxxxxxx
Instagram App,St Petersburg,Individual plan,trial,1,RU,mobile,fcdfc0d8-fecb-40a3-a0db-251c09d1bbb9,iOS,2019-09-01T15:36:00Z,conversion,7ae60bd61c71cfc10336xxxxxxxxxxxx
Facebook App,Barrie,Individual plan,membership,1,CA,tablet,9c3181ef-2a8f-4994-b9e6-435fc57c898d,iOS,2019-09-01T16:18:00Z,conversion,93efc129b5c23e2298e7xxxxxxxxxxxx
Instagram App,Houston,Individual plan,trial,1,US,mobile,87a23972-4c84-4c08-b228-17d2fb592a33,iOS,2019-09-01T20:55:00Z,conversion,cdb94728493b2fb97151xxxxxxxxxxxx
Safari,Davis,Individual plan,trial,1,US,tablet,52566fa5-07dd-4f4b-8438-f63f82213a44,iOS,2019-09-01T21:06:00Z,conversion,dc36957cf38c24e0a1acxxxxxxxxxxxx
Instagram App,London,Individual plan,trial,1,GB,mobile,0744cb37-1795-4183-b6fb-3beff182e1cb,iOS,2019-09-01T22:32:00Z,conversion,0f4a5e19350a38143655xxxxxxxxxxxx
Safari,Unknown,Family plan,trial,1,EG,mobile,73fb36a7-caa4-4901-8c65-92debb590451,iOS,2019-09-02T01:36:00Z,conversion,1c61c81343d4092be792xxxxxxxxxxxx
Chrome,Unknown,Individual plan,trial,1,JP,mobile,58338d72-0451-4a6b-a92f-229efb108ff8,iOS,2019-09-02T01:46:00Z,conversion,42b236f957575ea2b8a5xxxxxxxxxxxx
Line App,Unknown,Individual plan,membership,1,JP,mobile,9314614b-e227-49bd-9032-f835a2784025,iOS,2019-09-02T02:13:00Z,conversion,9d9c3595ad58bdc6a27exxxxxxxxxxxx
Safari,Concord,Individual plan,trial,1,US,mobile,18ef8fdb-0ad0-4999-b23b-800eabbb4e69,iOS,2019-09-02T02:47:00Z,conversion,67c59fe2e9f109a20bcaxxxxxxxxxxxx
Facebook App,Santa Rosa Beach,Individual plan,trial,1,US,mobile,966b9192-2fa6-47e6-a598-abe386a5839d,iOS,2019-09-02T03:15:00Z,conversion,b9fb8eb43e0293569901xxxxxxxxxxxx
Safari,Kamen,Individual plan,trial,1,DE,mobile,d226f6e9-c8f0-4f6a-a486-0d3e40d10e48,iOS,2019-09-02T03:20:00Z,conversion,cd8a9cefaadf2c6c0f85xxxxxxxxxxxx
Safari,Futtsu,Individual plan,membership,1,JP,mobile,11f4af12-dfdb-4b27-909b-cb1aa2fe41e5,iOS,2019-09-02T03:34:00Z,conversion,d30c5f6f0e1d4135dc66xxxxxxxxxxxx
Safari,Aurora,Individual plan,trial,1,US,mobile,a63b9074-2bda-40af-8eb7-7f4d094f71ef,iOS,2019-09-02T03:36:00Z,conversion,617316ddb6f2eb3b7217xxxxxxxxxxxx
Instagram App,Limon,Individual plan,trial,1,US,mobile,f34803dc-317d-489f-adac-68ecf9d15221,iOS,2019-09-02T07:02:00Z,conversion,4a9742cc7ef7e92635fcxxxxxxxxxxxx
Instagram App,Sasolburg,Individual plan,trial,1,ZA,mobile,1756909e-b723-450c-9261-aef308270f30,iOS,2019-09-02T08:54:00Z,conversion,8c35cf757c69c36de2f2xxxxxxxxxxxx
Instagram App,Naha,Individual plan,trial,1,JP,mobile,5c4b3237-47d0-48c2-865e-c2a83ed99029,iOS,2019-09-02T10:03:00Z,conversion,c127a9b078c064348818xxxxxxxxxxxx
Safari,Cologne,Individual plan,membership,1,DE,mobile,a6c85994-80f8-4b12-a82a-ebc3ac63feb7,iOS,2019-09-02T10:19:00Z,conversion,599e35a82d9e680273e9xxxxxxxxxxxx
Mobile Safari UIWebView,Oosterzele,Individual plan,trial,1,BE,Mobile Phone,66a16da5-5c28-478c-bfb5-3274d6c39ae7,iOS,2019-09-02T11:03:00Z,conversion,a57c365291cfdeffd2f1xxxxxxxxxxxx
Safari,Tel Aviv,Individual plan,trial,1,IL,mobile,832ded94-9eef-45ce-aa74-126e1d613ecc,iOS,2019-09-02T14:52:00Z,conversion,7be16c3ba7cbd9162e93xxxxxxxxxxxx
Safari,Albuquerque,Family plan,trial,1,US,mobile,28e809c8-a903-4a03-88ce-8c2dab330456,iOS,2019-09-02T15:38:00Z,conversion,39618cea5ccafe382412xxxxxxxxxxxx
Instagram App,Kyiv,Individual plan,trial,1,UA,mobile,a7f9b8c7-35d4-4a3d-89be-1b2e1d4d1c3c,iOS,2019-09-02T16:04:00Z,conversion,ca3a863594fd22af7c43xxxxxxxxxxxx
Facebook App,Gladesville,Individual plan,membership,1,AU,mobile,0495a2b3-9d33-4247-9ffa-a83df1423881,iOS,2019-09-02T17:16:00Z,conversion,013a0a1076f09a4abf28xxxxxxxxxxxx
Instagram App,Bilovods'k,Individual plan,trial,1,UA,mobile,abb1d497-4b50-4f2a-9581-9df19e12beed,iOS,2019-09-02T18:39:00Z,conversion,c2feb264243aea036a0dxxxxxxxxxxxx
Safari,Kazan’,Individual plan,trial,1,RU,mobile,e39677f3-469b-4de2-8ac5-d8019d29e7cf,iOS,2019-09-02T18:44:00Z,conversion,69e472ea13d85aee7254xxxxxxxxxxxx
Instagram App,Norwood Young America,Individual plan,trial,1,US,mobile,c3800502-b50a-4cc2-a3bf-ccaba5b8c4cd,iOS,2019-09-02T20:45:00Z,conversion,93c37edd9c9072128e63xxxxxxxxxxxx
Chrome,Montreal,Individual plan,membership,1,CA,mobile,6c961607-b2fe-4805-b0bb-134b85bbe6a4,iOS,2019-09-02T22:43:00Z,conversion,5d1a08632ae5d31b3116xxxxxxxxxxxx
Safari,São Paulo,Individual plan,trial,1,BR,mobile,ef146fae-7e9b-4a07-8012-4913de24765e,iOS,2019-09-02T23:16:00Z,conversion,be1c71eb47a9813adb6exxxxxxxxxxxx
Instagram App,Kyiv,Individual plan,trial,1,UA,mobile,d06d815b-bc57-4f0f-aa85-dc56e4b3d7e0,iOS,2019-09-02T23:35:00Z,conversion,98dd994315ca5ea3c134xxxxxxxxxxxx
Chrome,McCall,Individual plan,trial,1,US,mobile,ee35c696-9453-4d83-8c07-1e6ac49f0e96,iOS,2019-09-03T00:52:00Z,conversion,e89741746d92f970adc9xxxxxxxxxxxx
Mobile Safari UIWebView,Nagoya,Individual plan,trial,1,JP,Mobile Phone,60840ffd-8578-4271-862b-6aeaa603ccfe,iOS,2019-09-03T01:07:00Z,conversion,e8af20d1809f5341e902xxxxxxxxxxxx
Instagram App,Las Vegas,Individual plan,trial,1,US,mobile,f34803dc-317d-489f-adac-68ecf9d15221,iOS,2019-09-03T01:44:00Z,conversion,5b8173854b8504d6e260xxxxxxxxxxxx
Safari,Unknown,Individual plan,membership,1,JP,mobile,71dad0d3-e635-4af0-8151-10cc6e68a968,iOS,2019-09-03T02:04:00Z,conversion,3af3dee0c62d3446bd0exxxxxxxxxxxx
Instagram App,Calera,Individual plan,trial,1,US,mobile,fcdfc0d8-fecb-40a3-a0db-251c09d1bbb9,iOS,2019-09-03T02:54:00Z,conversion,0906700ece72eb135458xxxxxxxxxxxx
Instagram App,Brooklyn,Individual plan,membership,1,US,mobile,a6c85994-80f8-4b12-a82a-ebc3ac63feb7,iOS,2019-09-03T03:00:00Z,conversion,495cf97a195ee586f619xxxxxxxxxxxx
Instagram App,Philadelphia,Individual plan,trial,1,US,mobile,4b58416d-7304-4598-b6dc-6bc5967cca55,iOS,2019-09-03T03:26:00Z,conversion,735abee0f8636bf92ce5xxxxxxxxxxxx
Instagram App,Jakarta,Family plan,trial,1,ID,mobile,86677086-05ed-4dd3-8621-4eb7375669d5,iOS,2019-09-03T04:19:00Z,conversion,2dbb26f417fb7884f4b0xxxxxxxxxxxx
Instagram App,Kiruna,Individual plan,trial,1,SE,mobile,0e970979-12ab-4387-8f48-1451949fd72f,iOS,2019-09-03T04:38:00Z,conversion,d6898d4b0ff3c4cfa133xxxxxxxxxxxx
Facebook App,Burbank,Individual plan,trial,1,US,mobile,da7ce7a5-6497-47cf-b610-b9375380c394,iOS,2019-09-03T05:04:00Z,conversion,f78d94873bda474c5924xxxxxxxxxxxx
Safari,Hobetesu-tomiuchi,Individual plan,membership,1,JP,mobile,21c2b759-e850-4cef-b4d9-9f1885430f44,iOS,2019-09-03T05:13:00Z,conversion,d492d4831ceb732dfd62xxxxxxxxxxxx
Safari,Setagaya-ku,Individual plan,membership,1,JP,mobile,fa5ade31-72db-4829-bfef-40d58e138e5a,iOS,2019-09-03T05:53:00Z,conversion,fe4ba759782b55b9f2b1xxxxxxxxxxxx
Safari,Chester,Individual plan,membership,1,GB,mobile,7800d8b4-c4a0-439f-97b2-3043bfea25eb,iOS,2019-09-03T07:05:00Z,conversion,b38b24227ff8330988ccxxxxxxxxxxxx
Google App,Porter Ranch,Individual plan,membership,1,US,mobile,3f5fbcf0-6848-4c96-be04-550c55a445f0,iOS,2019-09-03T07:19:00Z,conversion,79bf9e4b2ba2a71ac07dxxxxxxxxxxxx
Instagram App,Hayward,Individual plan,membership,1,US,Mobile Device,a2c7e649-6ff9-4f41-b1ef-7f50dc149c80,iOS,2019-09-03T07:23:00Z,conversion,0944296353e0488bc503xxxxxxxxxxxx
Safari,Bavly,Individual plan,trial,1,RU,mobile,e80cbc2b-74b0-4bba-b84a-85e8688660b2,iOS,2019-09-03T08:11:00Z,conversion,2da2f8560d63011c9e14xxxxxxxxxxxx
Instagram App,Sendai,Individual plan,trial,1,JP,mobile,5c4b3237-47d0-48c2-865e-c2a83ed99029,iOS,2019-09-03T08:35:00Z,conversion,074f8e7d1fa24d6e8d34xxxxxxxxxxxx
Safari,Cwmbran,Individual plan,trial,1,GB,mobile,7e3b3f3b-8a6b-454e-b4aa-53a6bbd7c614,iOS,2019-09-03T09:04:00Z,conversion,a4d60cd24f6d3f5843acxxxxxxxxxxxx
Instagram App,Placerville,Individual plan,membership,1,US,mobile,636c2a94-7b9e-45b3-a2fd-8e4f7c5c5726,iOS,2019-09-03T09:35:00Z,conversion,bbea234045d66dc2fccaxxxxxxxxxxxx
Instagram App,Calimesa,Family plan,membership,1,US,mobile,0c0f9aa7-0b9b-4a6e-8619-7010973c7f01,iOS,2019-09-03T10:12:00Z,conversion,cc58044655d96291f65axxxxxxxxxxxx
Instagram App,Esneux,Student plan,trial,1,BE,mobile,ae2981fd-d945-4560-a6cd-d022714cade5,iOS,2019-09-03T11:05:00Z,conversion,2ada9398c4022a363318xxxxxxxxxxxx
Instagram App,St Petersburg,Individual plan,membership,1,RU,mobile,69a452dc-ebdb-482d-89a9-37acfc2d2984,iOS,2019-09-03T11:55:00Z,conversion,3facd1cd68f03e8861d6xxxxxxxxxxxx
Safari,Košice,Individual plan,trial,1,SK,mobile,67352dd4-ab49-4ba9-b8d2-e4e11a1ae70a,iOS,2019-09-03T14:36:00Z,conversion,6364091d2c420fb6c7d1xxxxxxxxxxxx
Safari,Yokohama,Individual plan,trial,1,JP,mobile,a144943a-e19a-448a-8c9a-4ce99e898387,iOS,2019-09-03T15:02:00Z,conversion,5b4eb5fc4fde118bd3bbxxxxxxxxxxxx
Safari,Shibukawa,Individual plan,trial,1,JP,mobile,2171a607-6678-4d88-b4d4-3418020e5ad9,iOS,2019-09-03T15:05:00Z,conversion,4a2188cc6fdc215446fexxxxxxxxxxxx
Safari,Fujisawa,Individual plan,trial,1,JP,mobile,2171a607-6678-4d88-b4d4-3418020e5ad9,iOS,2019-09-03T15:11:00Z,conversion,ef14fe364954442158f6xxxxxxxxxxxx
Safari,Unknown,Individual plan,trial,1,JP,mobile,2171a607-6678-4d88-b4d4-3418020e5ad9,iOS,2019-09-03T15:14:00Z,conversion,bdcf8f363ff25ed97ea7xxxxxxxxxxxx
Safari,Unknown,Individual plan,trial,1,JP,mobile,2171a607-6678-4d88-b4d4-3418020e5ad9,iOS,2019-09-03T15:17:00Z,conversion,3e0a0ef25a585f66b5c2xxxxxxxxxxxx
Instagram App,Hayward,Individual plan,trial,1,US,mobile,2eeca336-37f1-493b-808a-279c80737a30,iOS,2019-09-03T15:51:00Z,conversion,feac5d644165142c67b7xxxxxxxxxxxx
Instagram App,Marietta,Individual plan,trial,1,US,mobile,f7ace5c0-a37a-4ca9-bb7d-44310d0b25e0,iOS,2019-09-03T16:17:00Z,conversion,7cb929e7e90ac54520a5xxxxxxxxxxxx
Line App,Miyazaki,Individual plan,trial,1,JP,mobile,2171a607-6678-4d88-b4d4-3418020e5ad9,iOS,2019-09-03T16:35:00Z,conversion,9482fa87ec31cce2c355xxxxxxxxxxxx
Safari,Fukuyama,Individual plan,trial,1,JP,mobile,2171a607-6678-4d88-b4d4-3418020e5ad9,iOS,2019-09-03T16:46:00Z,conversion,1938af88752f25a8b328xxxxxxxxxxxx
Line App,Himeji,Individual plan,trial,1,JP,mobile,2171a607-6678-4d88-b4d4-3418020e5ad9,iOS,2019-09-03T17:12:00Z,conversion,154269efef88de7000d0xxxxxxxxxxxx
Instagram App,Lagos,Individual plan,trial,1,NG,mobile,5bce5f40-5a04-4525-b83b-9ab585e3bfd9,iOS,2019-09-03T17:17:00Z,conversion,ab80490a7afd6036a010xxxxxxxxxxxx
Safari,Setagaya-ku,Individual plan,trial,1,JP,Mobile Phone,550f9d9a-9538-458e-8249-acced3571ac5,iOS,2019-09-03T18:14:00Z,conversion,34ec39676b9c8c8e0267xxxxxxxxxxxx
Facebook App,Taipei,Individual plan,trial,1,TW,mobile,bf72b74e-ea42-4a72-a8b4-a07928e4f805,iOS,2019-09-03T18:50:00Z,conversion,e6867e76caf37b75b17exxxxxxxxxxxx
Mobile Safari UIWebView,Toronto,Student plan,trial,1,CA,mobile,cb32ce41-77cb-4aff-ac21-cf426a6642f4,iOS,2019-09-03T18:54:00Z,conversion,831a328fcfdd926427daxxxxxxxxxxxx
Safari,Cullman,Individual plan,trial,1,US,mobile,44039a2c-8419-4853-aa89-1d75e08461e0,iOS,2019-09-03T19:33:00Z,conversion,536f4d6eabd6595016b7xxxxxxxxxxxx
Facebook App,Brooklyn,Individual plan,trial,1,US,mobile,8e916ac3-e933-4a7a-9447-f6df1a55c535,iOS,2019-09-03T20:26:00Z,conversion,6940fe10fad85aa03af4xxxxxxxxxxxx
Safari,Sinsheim,Individual plan,trial,1,DE,desktop,b11685dc-7065-4cbf-8fff-111b83fc3a76,macOS,2019-09-03T22:29:00Z,conversion,a00d96ab68bf098abf35xxxxxxxxxxxx
Line App,Maebashi,Individual plan,trial,1,JP,mobile,2171a607-6678-4d88-b4d4-3418020e5ad9,iOS,2019-09-03T22:58:00Z,conversion,f1324dcdd4e18c13284dxxxxxxxxxxxx
Instagram App,Spittal an der Drau,Individual plan,trial,1,AT,mobile,d226f6e9-c8f0-4f6a-a486-0d3e40d10e48,iOS,2019-09-03T23:13:00Z,conversion,38c027311961ea7b4e73xxxxxxxxxxxx
Line App,Hitachi,Individual plan,trial,1,JP,mobile,2171a607-6678-4d88-b4d4-3418020e5ad9,iOS,2019-09-04T00:11:00Z,conversion,d672b0291604f7fd4c1axxxxxxxxxxxx
Safari,Nerima,Individual plan,trial,1,JP,tablet,89127db1-297d-422e-819d-3f4083f7b760,iOS,2019-09-04T00:59:00Z,conversion,a5e1acd5b6219921fa2dxxxxxxxxxxxx
Safari,Unknown,Individual plan,trial,1,JP,mobile,2171a607-6678-4d88-b4d4-3418020e5ad9,iOS,2019-09-04T01:36:00Z,conversion,6df83f0f611c2d9f40d8xxxxxxxxxxxx
Safari,Lebanon,Individual plan,trial,1,US,mobile,f049458d-8b82-4f90-ae06-10099d19c878,iOS,2019-09-04T01:49:00Z,conversion,4baf637cea6c96977114xxxxxxxxxxxx
Safari,Bogotá,Individual plan,trial,1,CO,mobile,f34803dc-317d-489f-adac-68ecf9d15221,iOS,2019-09-04T02:50:00Z,conversion,0f1bf73552b5829bf140xxxxxxxxxxxx
Line App,Suzuka,Individual plan,trial,1,JP,mobile,2171a607-6678-4d88-b4d4-3418020e5ad9,iOS,2019-09-04T03:08:00Z,conversion,1c58b1c76a11666ded9exxxxxxxxxxxx
Safari,Shibuya,Individual plan,trial,1,JP,mobile,ce4c4b63-c1c3-4c09-920a-b715ecc2c01b,iOS,2019-09-04T03:09:00Z,conversion,6123d7acc66a8dce9febxxxxxxxxxxxx
Safari,Himeji,Individual plan,trial,1,JP,mobile,2171a607-6678-4d88-b4d4-3418020e5ad9,iOS,2019-09-04T03:35:00Z,conversion,82268c20c738d17a7947xxxxxxxxxxxx
Instagram App,Gardena,Individual plan,trial,1,US,mobile,f5ba9ca7-6189-497e-9e3b-67ba03ce2f82,iOS,2019-09-04T03:42:00Z,conversion,0d452984d7ca225bd7fcxxxxxxxxxxxx
Line App,Unknown,Individual plan,trial,1,JP,mobile,2171a607-6678-4d88-b4d4-3418020e5ad9,iOS,2019-09-04T03:51:00Z,conversion,5a4f8aa50271ffc1a4d5xxxxxxxxxxxx
Facebook App,Montrose,Individual plan,membership,1,AU,mobile,c24e1424-ef30-4824-9f61-772931eb8ab5,Android,2019-09-04T03:52:00Z,conversion,b1ce4fddedd6696a144exxxxxxxxxxxx
Safari,Saiwaicho,Individual plan,trial,1,JP,desktop,7ac49fc0-e21f-4478-b845-112067de5b61,macOS,2019-09-04T04:19:00Z,conversion,a50bd11b4c71fb0a5e32xxxxxxxxxxxx
Facebook App,Saratoga Springs,Individual plan,trial,1,US,mobile,53205ecc-eab9-438a-b5a0-ad9e5afb36c0,iOS,2019-09-04T04:21:00Z,conversion,79f7e33c26ddf4eaa385xxxxxxxxxxxx
Chrome,Goiânia,Individual plan,membership,1,BR,desktop,9ed1226a-eb44-4549-9c0e-d9e43fc1aef0,macOS,2019-09-04T04:53:00Z,conversion,5ca2dd4ea623d2796b07xxxxxxxxxxxx
Safari,South Yarra,Individual plan,trial,1,AU,mobile,460e3127-d7f0-433f-9257-a5e228ff1f5e,iOS,2019-09-04T06:47:00Z,conversion,d231dabacbaff0c6a212xxxxxxxxxxxx
Instagram App,Eniwa,Individual plan,membership,1,JP,mobile,55d8d10c-3671-4c58-9c01-6cef7a9d9785,iOS,2019-09-04T07:25:00Z,conversion,f620c7a3eb3c490eb6a6xxxxxxxxxxxx
Instagram App,Kishiwada,Individual plan,membership,1,JP,mobile,55d8d10c-3671-4c58-9c01-6cef7a9d9785,iOS,2019-09-04T07:26:00Z,conversion,1409e70d8925756faa8dxxxxxxxxxxxx
Instagram App,Osaka,Individual plan,membership,1,JP,mobile,55d8d10c-3671-4c58-9c01-6cef7a9d9785,iOS,2019-09-04T08:00:00Z,conversion,e45b80cd478020fdbb4dxxxxxxxxxxxx
Instagram App,Berkeley,Individual plan,trial,1,US,mobile,40deb7a5-23de-43de-a37f-7d262bd11e3f,iOS,2019-09-04T08:15:00Z,conversion,246fa0a173405a77df30xxxxxxxxxxxx
Facebook App,Tainan City,Individual plan,trial,1,TW,mobile,bf72b74e-ea42-4a72-a8b4-a07928e4f805,iOS,2019-09-04T08:30:00Z,conversion,c6bb257eed4671981e8exxxxxxxxxxxx
Safari,Saiwaicho,Student plan,trial,1,JP,desktop,7ac49fc0-e21f-4478-b845-112067de5b61,macOS,2019-09-04T09:21:00Z,conversion,a50bd11b4c71fb0a5e32xxxxxxxxxxxx
Safari,Budapest,Individual plan,trial,1,HU,mobile,4537c456-4d63-4e3d-b61d-528a2e440c9d,iOS,2019-09-04T09:26:00Z,conversion,9c2b984a02d24184d184xxxxxxxxxxxx
Safari,Saiwaicho,Individual plan,trial,1,JP,desktop,7ac49fc0-e21f-4478-b845-112067de5b61,macOS,2019-09-04T09:41:00Z,conversion,a50bd11b4c71fb0a5e32xxxxxxxxxxxx
Safari,Unknown,Individual plan,trial,1,JP,mobile,2171a607-6678-4d88-b4d4-3418020e5ad9,iOS,2019-09-04T09:47:00Z,conversion,19a05479f99ed485f58cxxxxxxxxxxxx
Safari,Nagoya,Individual plan,trial,1,JP,mobile,2171a607-6678-4d88-b4d4-3418020e5ad9,iOS,2019-09-04T09:52:00Z,conversion,8d181a4d4a393a1a52c6xxxxxxxxxxxx
Line App,Takadanobaba,Individual plan,trial,1,JP,mobile,2171a607-6678-4d88-b4d4-3418020e5ad9,iOS,2019-09-04T10:00:00Z,conversion,147dfb76c68002774617xxxxxxxxxxxx
Safari,Gateshead,Individual plan,membership,1,GB,mobile,5115d0c5-a279-4b9f-b927-6437a67860b3,iOS,2019-09-04T10:04:00Z,conversion,1e4148d94a4545e330f5xxxxxxxxxxxx
Instagram App,Salvador,Individual plan,membership,1,BR,mobile,13cc98de-1aaf-4f86-8f21-321ec973b84e,iOS,2019-09-04T10:34:00Z,conversion,8311564bcefb1ad0417fxxxxxxxxxxxx
Safari,Kobe,Individual plan,trial,1,JP,mobile,aa2bab4a-ac01-4314-8b24-0bf4e4d4f0d2,iOS,2019-09-04T10:37:00Z,conversion,d4d2bf25cb1fe3d65f14xxxxxxxxxxxx
Firefox,Vienna,Individual plan,trial,1,AT,desktop,53ed9a41-4dba-4c9f-b1ed-590ee0a9c2fb,macOS,2019-09-04T10:47:00Z,conversion,fab2ec1b83f85be9a04bxxxxxxxxxxxx
Safari,Fukuoka,Individual plan,trial,1,JP,mobile,2171a607-6678-4d88-b4d4-3418020e5ad9,iOS,2019-09-04T11:00:00Z,conversion,28811e0241e78c61547fxxxxxxxxxxxx
Instagram App,Fort Collins,Individual plan,trial,1,US,mobile,815f08be-be21-48d5-a664-62df4b9c1871,iOS,2019-09-04T11:56:00Z,conversion,3ed6a02c36c5e3a3330exxxxxxxxxxxx
Twitter App,Unknown,Individual plan,trial,1,JP,mobile,f56c93fa-c1ca-4165-ac67-eb65d61b5fc1,iOS,2019-09-04T11:59:00Z,conversion,b6e3b9fc78c4daa82c0cxxxxxxxxxxxx
Safari,Saiwaicho,Individual plan,trial,1,JP,desktop,7ac49fc0-e21f-4478-b845-112067de5b61,macOS,2019-09-04T12:03:00Z,conversion,a50bd11b4c71fb0a5e32xxxxxxxxxxxx
Safari,Higashiosaka,Individual plan,trial,1,JP,mobile,2171a607-6678-4d88-b4d4-3418020e5ad9,iOS,2019-09-04T12:14:00Z,conversion,5df8814f3908dfcb17b4xxxxxxxxxxxx
Instagram App,Washington,Individual plan,membership,1,US,mobile,a3e71f01-350f-4b1a-8c8b-b0bad4c00d0f,iOS,2019-09-04T12:37:00Z,conversion,de1f6ad5145bb79c3c8cxxxxxxxxxxxx
Safari,Higashi-Hiroshima,Individual plan,trial,1,JP,mobile,8c35ccda-c0eb-40b5-892d-7e8932a1865a,iOS,2019-09-04T13:01:00Z,conversion,52833f1dc1edbe7e878bxxxxxxxxxxxx
Facebook App,Rochester,Individual plan,trial,1,US,mobile,14c78bfd-6ef0-445a-87da-3e5743ffc6d7,iOS,2019-09-04T13:27:00Z,conversion,8a66f941f0050ca19127xxxxxxxxxxxx
